order_id,customer_id,product_id,quantity,unit_price,order_date,delivery_status,payment_method,region,discount_applied,product_name,category,launch_date,base_price,supplier_code,email,signup_date,gender,region_cust,loyalty_tier
O865247,C00249,P0022,5.0,30.92,2025-07-22,Delayed,Credit Card,East,0.1,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,theresalong@grant-diaz.com,2024-09-21,Male,South,Gold
O315552,C00110,P0007,4.0,28.74,2025-07-24,Delivered,Bank Transfer,North,0.1,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,harrisonricky@yahoo.com,2025-03-23,Female,South,Gold
O135982,C00441,P0003,2.0,38.11,2025-07-26,Delivered,Paypal,North,0.0,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,sean43@steele.com,,Female,South,Bronze
O870079,C00274,P0013,1.0,49.71,2025-07-28,Delayed,Credit Card,East,0.0,Cleaning Product 94,Cleaning,2025-06-17,36.52,S914,cherylfowler@wilcox-robertson.com,2024-12-08,Femle,South,Gold
O305482,C00404,P0003,4.0,9.79,2025-07-30,Cancelled,Bank Transfer,North,0.15,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,shawrachel@gmail.com,2024-09-30,Male,East,Gold
O359666,C00397,P0007,4.0,12.07,2025-07-30,Delayed,Bank Transfer,West,0.0,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,jacquelinemartin@mills-logan.com,2024-09-08,Female,North,Silver
O324940,C00262,P0002,1.0,20.42,2025-07-31,Delayed,Credit Card,North,0.05,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,ann44@gmail.com,2025-02-13,Female,South,Gold
O364358,C00319,P0027,4.0,17.4,2025-07-30,Delayed,Paypal,East,0.0,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,ebennett@gmail.com,2025-03-10,Male,West,Gold
O358447,C00059,P0004,3.0,39.89,2025-07-29,Delayed,Bank Transfer,West,0.0,Kitchen Product 82,Kitchen,2025-04-19,9.13,S589,cardenaskaren@hotmail.com,2024-11-03,Female,West,Bronze
O216425,C00211,P0019,1.0,32.05,2025-07-28,Delayed,Bank Transfer,South,0.15,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,ingramjill@anderson-bell.com,2025-05-17,Male,North,Silver
O121091,C00276,P0022,4.0,12.88,2025-07-27,Cancelled,Credit Card,Central,0.2,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,kevin90@yahoo.com,2025-03-16,Female,West,Gold
O930213,C00369,P0010,4.0,10.43,2025-07-26,Cancelled,Paypal,South,0.0,Cleaning Product 70,Cleaning,2024-08-14,17.72,S321,taylorkaren@yahoo.com,2025-06-27,Other,West,Bronze
O342894,C00171,P0030,1.0,31.96,2025-07-25,Delivered,Bank Transfer,South,0.0,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,moorekaren@craig.info,2025-03-20,Male,Central,Silver
O471486,C00423,P0007,2.0,39.93,2025-07-24,Cancelled,Paypal,Central,0.0,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,ycrawford@hotmail.com,2024-12-18,Male,East,Bronze
O728183,C00040,P0021,5.0,39.59,2025-07-23,Delivered,Credit Card,Central,0.15,Kitchen Product 70,Kitchen,2024-09-28,20.23,S643,josephjacobs@cooper.net,2025-01-11,Femle,East,Gold
O860527,C00334,P0025,5.0,46.67,2025-07-22,Delayed,Paypal,South,0.0,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,stephentaylor@gmail.com,2024-12-06,Female,South,Gold
O658934,C00463,P0025,4.0,19.29,2025-07-21,Delayed,Credit Card,West,0.1,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,earmstrong@gmail.com,2024-09-10,Other,West,Bronze
O702676,C00374,P0019,1.0,36.28,2025-07-20,Delivered,Bank Transfer,West,0.0,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,sreid@horn-flynn.biz,2024-09-28,Female,North,Gold
O145341,C00470,P0024,1.0,29.47,2025-07-19,Cancelled,Paypal,East,0.1,Storage Product 87,Storage,2025-02-24,26.33,S558,,2024-07-17,Femle,North,Silver
O291982,C00329,P0019,5.0,41.7,2025-07-18,Delivered,Paypal,East,0.05,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,rward@gmail.com,2024-08-26,Femle,South,Gold
O577920,C00480,P0015,4.0,28.58,2025-07-17,Delayed,Paypal,East,0.0,Storage Product 10,Storage,2024-08-08,39.21,S466,gabrielle71@yahoo.com,2024-10-21,Other,Central,Silver
O960238,C00259,P0009,2.0,9.58,2025-07-16,Delayed,Credit Card,East,0.2,Outdoors Product 13,Outdoors,2025-04-18,8.0,S695,ledwards@yahoo.com,2025-06-25,Femle,West,Gold
O966135,C00464,P0028,1.0,26.29,2025-07-15,Cancelled,Paypal,West,0.0,Outdoors Product 53,Outdoors,2025-04-10,34.28,S587,mthomas@hotmail.com,2025-04-01,Male,Central,Gold
O453905,C00398,P0017,2.0,32.1,2025-07-14,Delivered,Paypal,South,0.1,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,karamarks@hotmail.com,2025-06-15,Other,Central,Bronze
O357468,C00070,P0025,2.0,12.47,2025-07-13,Delivered,Credit Card,East,0.15,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,wwoods@molina-castaneda.biz,2025-01-31,Male,Central,Gold
O671288,C00197,P0014,4.0,15.06,2025-07-12,Delayed,Credit Card,North,0.0,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,xwilliams@ball.info,2024-10-04,Other,West,Gold
O566495,C00500,P0013,1.0,41.14,2025-07-11,Delivered,Paypal,Central,0.0,Cleaning Product 94,Cleaning,2025-06-17,36.52,S914,jasonjohnson@jackson.com,2024-11-28,Male,North,Gold
O508604,C00331,P0022,1.0,14.6,2025-07-10,Cancelled,Bank Transfer,Central,0.2,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,asmith@yahoo.com,2025-05-04,Femle,West,Gold
O455877,C00414,P0029,3.0,37.44,2025-07-09,Cancelled,Bank Transfer,East,0.0,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,charlesharris@hotmail.com,2024-08-17,Male,South,Gold
O175998,C00170,P0016,1.0,47.46,2025-07-08,Delayed,Bank Transfer,North,0.05,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,vbarnes@wood.com,2025-05-03,Male,West,Gold
O393004,C00284,P0011,4.0,49.08,2025-07-07,Delivered,Paypal,East,0.15,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,tchambers@johnson.com,2025-02-15,Male,East,Gold
O198320,C00392,P0001,3.0,18.38,2025-07-06,Delivered,Credit Card,West,0.15,Storage Product 39,Storage,2025-03-11,15.88,S339,livingstonstacy@hunter-fuller.net,2025-04-29,Femle,West,Gold
O223293,C00070,P0007,5.0,9.06,2025-07-05,Delivered,Bank Transfer,West,0.2,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,wwoods@molina-castaneda.biz,2025-01-31,Male,Central,Gold
O698994,C00301,P0024,3.0,45.59,2025-07-04,Delayed,Paypal,East,0.05,Storage Product 87,Storage,2025-02-24,26.33,S558,adamsemily@williams.org,2025-04-13,Female,Central,Gold
O532137,C00043,P0029,1.0,28.46,2025-07-03,Delayed,Credit Card,West,0.2,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,davenportbrandi@jordan.com,2024-11-24,Female,East,Silver
O577109,C00416,P0005,4.0,49.91,2025-07-02,Delivered,Credit Card,East,0.05,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,hbaker@gmail.com,2024-09-05,Femle,West,Gold
O641343,C00274,P0017,5.0,29.41,2025-07-01,Delivered,Credit Card,South,0.05,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,cherylfowler@wilcox-robertson.com,2024-12-08,Femle,South,Gold
O333120,C00006,P0027,1.0,45.44,2025-06-30,Delayed,Credit Card,Central,0.1,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,wyattmichelle@yahoo.com,2024-10-21,Male,Central,Bronze
O813745,C00399,P0010,5.0,22.25,2025-06-29,Delivered,Bank Transfer,Central,0.0,Cleaning Product 70,Cleaning,2024-08-14,17.72,S321,rogersruben@brown.com,2025-01-14,Male,North,Bronze
O544747,C00381,P0029,5.0,24.19,2025-06-28,Delivered,Credit Card,East,0.05,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,lmiller@stone.com,2024-07-09,Male,South,Gold
O468789,C00366,P0015,5.0,33.07,2025-06-27,Delayed,Paypal,North,0.2,Storage Product 10,Storage,2024-08-08,39.21,S466,gonzalesvictoria@gmail.com,2024-09-25,Female,North,Bronze
O627148,C00180,P0022,4.0,17.33,2025-06-26,Delayed,Bank Transfer,South,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,fosterkyle@yahoo.com,2024-09-30,Other,West,Gold
O935520,C00434,P0004,3.0,30.3,2025-06-25,Delayed,Paypal,South,0.0,Kitchen Product 82,Kitchen,2025-04-19,9.13,S589,brendastark@mathis.com,2024-11-28,Male,West,Gold
O544861,C00495,P0011,2.0,40.78,2025-06-24,Delayed,Credit Card,North,0.1,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,mcclainkatherine@hotmail.com,2024-09-18,Male,Central,Gold
O459284,C00365,P0021,2.0,35.38,2025-06-23,Delayed,Paypal,North,0.1,Kitchen Product 70,Kitchen,2024-09-28,20.23,S643,pgarcia@evans.info,2024-10-16,Male,West,Silver
O180874,C00066,P0029,4.0,43.89,2025-06-22,Cancelled,Bank Transfer,Central,0.2,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,katie87@allen.com,2024-10-19,Other,South,Gold
O241823,C00224,P0016,5.0,21.08,2025-06-21,Delayed,Paypal,East,0.05,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,nathan19@gmail.com,2025-01-27,Female,West,Gold
O756742,C00077,P0013,5.0,13.7,2025-06-20,Delayed,Paypal,East,0.0,Cleaning Product 94,Cleaning,2025-06-17,36.52,S914,davidcaldwell@gould.com,2024-09-09,Femle,Central,Gold
O210583,C00384,P0026,4.0,38.54,2025-06-19,Delivered,Credit Card,West,0.0,Storage Product 50,Storage,2025-02-08,27.06,S952,darlenebyrd@gmail.com,2025-01-28,Female,South,Bronze
O778545,C00195,P0001,2.0,27.55,2025-06-18,Cancelled,Credit Card,West,0.0,Storage Product 39,Storage,2025-03-11,15.88,S339,jeremytaylor@gmail.com,2024-10-28,Femle,Central,Silver
O250174,C00181,P0011,2.0,24.53,2025-06-17,Delayed,Bank Transfer,South,0.1,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,charlesschultz@hotmail.com,2025-01-20,Other,South,Bronze
O779423,C00152,P0022,3.0,35.67,2025-06-16,Delivered,Paypal,West,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,john29@jones.com,2025-02-18,Other,North,Silver
O158221,C00443,P0017,5.0,21.31,2025-06-15,Cancelled,Credit Card,South,0.0,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,amy17@hotmail.com,2025-03-15,Femle,West,Silver
O415017,C00263,P0002,1.0,31.39,2025-06-14,Cancelled,Credit Card,Central,0.0,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,xcardenas@gmail.com,2024-10-26,Male,Central,Gold
O411654,C00357,P0005,5.0,38.0,2025-06-13,Delivered,Credit Card,West,0.0,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,powerslawrence@gmail.com,2024-11-01,Male,Central,Silver
O545752,C00020,P0022,2.0,19.1,2025-06-12,Delivered,Credit Card,East,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,josephbrennan@yahoo.com,2024-09-26,Female,East,Gold
O970556,C00465,P0011,3.0,29.38,2025-06-11,Cancelled,Bank Transfer,North,0.05,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,fosternatasha@hotmail.com,2024-10-06,Female,Central,Gold
O493424,C00356,P0003,1.0,32.26,2025-06-10,Delivered,Bank Transfer,South,0.05,Cleaning Product 85,Cleaning,2024-07-15,7.92,S745,megan92@hotmail.com,2025-04-06,Female,South,Gold
O209171,C00415,P0030,5.0,38.84,2025-06-09,Cancelled,Bank Transfer,North,0.2,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,martinsteven@martinez-howard.com,2024-12-28,Female,South,Gold
O422815,C00272,P0017,1.0,44.92,2025-06-08,Delivered,Credit Card,North,0.2,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,znelson@rivera.info,2025-03-14,Female,South,Silver
O112343,C00420,P0029,2.0,45.57,2025-06-07,Delayed,Credit Card,Central,0.0,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,greertoni@gonzalez.com,2025-03-29,Male,East,Bronze
O129237,C00342,P0022,4.0,15.33,2025-06-06,Delayed,Paypal,East,0.0,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,mjones@yahoo.com,2025-02-17,Other,East,Unknown
O418152,C00110,P0030,2.0,48.25,2025-06-05,Cancelled,Credit Card,West,0.1,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,harrisonricky@yahoo.com,2025-03-23,Female,South,Gold
O359098,C00352,P0014,4.0,11.54,2025-06-04,Delivered,Credit Card,South,0.05,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,jacobsandoval@yahoo.com,2024-07-17,Other,West,Gold
O772183,C00045,P0026,2.0,30.96,2025-06-03,Delayed,Paypal,West,0.15,Storage Product 50,Storage,2025-02-08,27.06,S952,michellecherry@keith.com,2025-04-18,Female,West,Bronze
O399621,C00147,P0016,3.0,31.26,2025-06-02,Cancelled,Bank Transfer,Central,0.1,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,vwatson@hotmail.com,2025-01-31,Male,East,Gold
O362898,C00452,P0025,1.0,37.16,2025-06-01,Delivered,Credit Card,East,0.0,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,nathanjames@gmail.com,2024-12-26,Female,West,Bronze
O657302,C00338,P0016,1.0,28.45,2025-05-31,Delayed,Bank Transfer,North,0.0,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,markramirez@yahoo.com,2024-11-24,Male,South,Gold
O691691,C00033,P0030,1.0,30.05,2025-05-30,Cancelled,Credit Card,Central,0.05,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,larsonemma@powell.com,2025-02-15,Other,North,Gold
O712157,C00372,P0015,3.0,17.09,2025-05-29,Cancelled,Credit Card,East,0.0,Storage Product 10,Storage,2024-08-08,39.21,S466,,,,,
O622429,C00056,P0016,1.0,45.87,2025-05-28,Delayed,Credit Card,Central,0.15,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,christinaturner@hotmail.com,2025-05-25,Male,South,Bronze
O429017,C00131,P0028,5.0,24.03,2025-05-27,Delivered,Bank Transfer,North,0.0,Outdoors Product 53,Outdoors,2025-04-10,34.28,S587,gregorylynch@harvey-allen.org,2024-08-30,Male,Central,Gold
O773027,C00172,P0005,5.0,28.61,2025-05-26,Delivered,Paypal,Central,0.1,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,alawson@yahoo.com,2024-09-27,Female,East,Bronze
O486175,C00441,P0026,1.0,48.56,2025-05-25,Delivered,Bank Transfer,Central,0.1,Storage Product 50,Storage,2025-02-08,27.06,S952,sean43@steele.com,,Female,South,Bronze
O914359,C00386,P0027,1.0,34.25,2025-05-24,Delayed,Paypal,South,0.1,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,mosleydonald@lawrence.com,2024-12-19,Other,East,Gold
O251988,C00052,P0029,5.0,27.55,2025-05-23,Delayed,Credit Card,South,0.1,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,gobrien@gmail.com,2024-12-02,Female,East,Gold
O310886,C00256,P0029,4.0,40.76,2025-05-22,Delayed,Bank Transfer,East,0.2,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,ojackson@harvey.com,2024-07-18,Female,East,Gold
O536236,C00192,P0019,3.0,32.04,2025-05-21,Delivered,Paypal,Central,0.0,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,christopher25@ponce-hale.biz,2024-08-25,Femle,West,Gold
O782603,C00259,P0016,4.0,43.95,2025-05-20,Delayed,Credit Card,South,0.0,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,ledwards@yahoo.com,2025-06-25,Femle,West,Gold
O673771,C00126,P0022,3.0,44.95,2025-05-19,Delivered,Credit Card,North,0.1,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,matthew61@yahoo.com,2025-06-02,Female,West,Silver
O821870,C00371,P0011,5.0,39.49,2025-05-18,Delayed,Credit Card,East,0.0,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,othomas@yahoo.com,2025-03-06,Other,North,Silver
O521398,C00419,P0010,4.0,40.27,2025-05-17,Delivered,Bank Transfer,South,0.15,Cleaning Product 70,Cleaning,2024-08-14,17.72,S321,codygarcia@gmail.com,2024-08-22,Female,South,Bronze
O198927,C00139,P0006,1.0,29.26,2025-05-16,Delayed,Credit Card,North,0.15,Cleaning Product 16,Cleaning,2024-10-09,36.06,S980,browningmark@thompson-anderson.net,2025-06-11,Other,Central,Bronze
O293081,C00449,P0025,3.0,26.26,2025-05-15,Delivered,Credit Card,South,0.1,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,briansmith@gmail.com,2024-10-28,Female,East,Silver
O911659,C00152,P0001,4.0,9.6,2025-05-14,Cancelled,Bank Transfer,North,0.05,Storage Product 39,Storage,2025-03-11,15.88,S339,john29@jones.com,2025-02-18,Other,North,Silver
O312192,C00469,P0022,4.0,49.75,2025-05-13,Delivered,Credit Card,West,0.05,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,alewis@washington.com,2025-01-22,Female,North,Silver
O494631,C00239,P0030,2.0,29.19,2025-05-12,Delayed,Paypal,South,0.0,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,djones@gmail.com,2024-12-23,Female,South,Bronze
O301929,C00221,P0025,3.0,18.29,2025-05-11,Cancelled,Bank Transfer,Central,0.15,Cleaning Product 84,Cleaning,2024-07-16,15.24,S503,lambertrichard@owen.com,2025-05-31,Female,West,Silver
O101648,C00238,P0011,1.0,19.39,2025-05-10,Delayed,Credit Card,South,0.0,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,zsanchez@hotmail.com,2024-12-10,Male,South,Silver
O753282,C00008,P0007,4.0,39.63,2025-05-09,Cancelled,Bank Transfer,East,0.05,Personal Care Product 64,Personal Care,2024-09-30,33.63,S379,amandasanchez@gray-mayo.net,2024-09-29,Male,Central,Gold
O875628,C00479,P0011,3.0,12.08,2025-05-08,Delivered,Bank Transfer,North,0.2,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,smithyvonne@yahoo.com,2025-02-09,Male,South,Gold
O384964,C00476,P0017,3.0,34.16,2025-05-07,Delayed,Credit Card,Central,0.15,Personal Care Product 11,Personal Care,2024-12-16,16.46,S594,ericaadams@palmer-hancock.com,2025-01-06,Femle,East,Bronze
O796756,C00040,P0027,2.0,38.66,2025-05-06,Delayed,Credit Card,South,0.05,Outdoors Product 55,Outdoors,2024-09-21,23.05,S127,josephjacobs@cooper.net,2025-01-11,Femle,East,Gold
O291094,C00327,P0026,2.0,30.11,2025-05-05,Delivered,Credit Card,South,0.0,Storage Product 50,Storage,2025-02-08,27.06,S952,bartonkenneth@gmail.com,2025-04-08,Male,East,Bronze
O532899,C00275,P0021,3.0,20.38,2025-05-04,Delivered,Bank Transfer,East,0.05,Kitchen Product 70,Kitchen,2024-09-28,20.23,S643,tinawoods@smith.com,2024-12-26,Other,West,Gold
O909075,C00073,P0002,3.0,47.54,2025-05-03,Cancelled,Credit Card,West,0.2,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,michellewhite@yahoo.com,2024-11-30,Femle,North,Silver
O619650,C00318,P0029,2.0,26.67,2025-05-02,Delayed,Credit Card,East,0.05,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,kevinclayton@valdez.com,2024-08-11,Femle,West,Gold
O542524,C00044,P0014,5.0,49.51,2025-05-01,Delayed,Credit Card,West,0.0,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,jason31@deleon-henson.biz,2025-03-04,Femle,Central,Gold
O612638,C00377,P0016,4.0,20.8,2025-05-02,Delayed,Paypal,North,0.0,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,scottsmith@harris-barker.com,2025-06-13,Female,Central,Bronze
O136068,C00421,P0012,1.0,21.09,2025-05-03,Cancelled,Credit Card,East,0.0,Cleaning Product 29,Cleaning,2025-04-19,14.67,S481,samantha10@gonzalez.info,2025-05-16,Female,West,Gold
O637085,C00010,P0020,1.0,15.18,2025-05-04,Delayed,Credit Card,East,0.15,Cleaning Product 40,Cleaning,2024-08-11,30.27,S492,clarksherri@hotmail.com,2024-11-05,Male,East,Gold
O494343,C00445,P0012,5.0,44.15,2025-05-05,Delivered,Credit Card,South,0.05,Cleaning Product 29,Cleaning,2025-04-19,14.67,S481,george62@jones.com,2025-02-21,Male,West,Sllver
O267004,C00041,P0004,5.0,33.0,2025-05-06,Delivered,Paypal,East,0.0,Kitchen Product 82,Kitchen,2025-04-19,9.13,S589,davisrodney@yahoo.com,2024-07-23,Male,North,Bronze
O828103,C00008,P0005,4.0,46.14,2025-05-07,Cancelled,Credit Card,South,0.0,Personal Care Product 1,Personal Care,2024-10-20,31.1,S559,amandasanchez@gray-mayo.net,2024-09-29,Male,Central,Gold
O948197,C00028,P0030,2.0,41.45,2025-05-08,Delayed,Paypal,East,0.1,Cleaning Product 72,Cleaning,2025-04-04,9.77,S455,pearsonamber@novak.com,2024-12-10,Femle,North,Gold
O537059,C00079,P0015,3.0,44.87,2025-05-09,Delivered,Credit Card,South,0.1,Storage Product 10,Storage,2024-08-08,39.21,S466,vargasmaria@garcia.org,2025-05-14,Female,North,Bronze
O536172,C00214,P0019,1.0,9.01,2025-05-10,Cancelled,Credit Card,East,0.0,Kitchen Product 42,Kitchen,2024-07-17,30.3,S993,ihays@yahoo.com,2024-10-12,Other,East,Gold
O619476,C00229,P0014,4.0,10.79,2025-05-11,Delayed,Paypal,West,0.1,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,melissa25@hotmail.com,2024-10-01,Femle,South,Bronze
O207553,C00281,P0006,1.0,44.98,2025-05-12,Delayed,Bank Transfer,East,0.05,Cleaning Product 16,Cleaning,2024-10-09,36.06,S980,poolerebecca@armstrong.com,2024-11-10,Other,East,Bronze
O803247,C00311,P0029,5.0,30.1,2025-05-13,Delayed,Paypal,South,0.05,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,sabrinaweaver@hotmail.com,2024-07-28,Male,North,Gold
O614893,C00064,P0011,4.0,22.73,2025-05-14,Delivered,Paypal,North,0.05,Kitchen Product 53,Kitchen,2025-03-25,11.08,S645,usalazar@hotmail.com,2024-12-18,Femle,Central,Gold
O658279,C00313,P0002,2.0,28.15,2025-05-15,Delivered,Paypal,West,0.0,Cleaning Product 82,Cleaning,2024-08-18,34.23,S974,robinsonstephen@williamson.org,2025-06-25,Male,East,Bronze
O283531,C00208,P0012,4.0,34.66,2025-05-16,Delivered,Bank Transfer,East,0.1,Cleaning Product 29,Cleaning,2025-04-19,14.67,S481,mendezjohn@yahoo.com,2024-09-16,Female,East,Silver
O391107,C00072,P0010,2.0,14.81,2025-05-17,Delayed,Credit Card,Central,0.0,Cleaning Product 70,Cleaning,2024-08-14,17.72,S321,ncalhoun@johnson.com,2024-08-07,Female,East,Gold
O621260,C00426,P0022,5.0,15.65,2025-05-18,Delivered,Credit Card,East,0.2,Cleaning Product 86,Cleaning,2024-10-04,19.77,S924,crystalpham@mayo.com,2025-01-08,Male,East,Gold
O512253,C00308,P0018,3.0,40.41,2025-05-19,Delivered,Credit Card,East,0.2,Storage Product 37,Storage,2024-07-18,6.08,S767,victorpena@hotmail.com,2024-11-14,Other,East,Bronze
O288567,C00177,P0029,1.0,21.22,2025-05-20,Cancelled,Bank Transfer,West,0.15,Cleaning Product 69,Cleaning,2025-03-15,23.41,S424,atkinsbarbara@hotmail.com,2024-12-10,Female,West,Gold
O515824,C00383,P0024,2.0,32.18,2025-05-21,Delivered,Paypal,East,0.0,Storage Product 87,Storage,2025-02-24,26.33,S558,patrickcross@garcia.com,2024-08-28,Femle,North,Gold
O773319,C00481,P0018,3.0,35.97,2025-05-22,Cancelled,Credit Card,South,0.05,Storage Product 37,Storage,2024-07-18,6.08,S767,jose43@gmail.com,2025-01-22,Femle,North,Gold
O449151,C00450,P0016,5.0,22.62,2025-05-23,Cancelled,Credit Card,Central,0.15,Cleaning Product 53,Cleaning,2025-02-20,26.71,S715,collinclark@hotmail.com,2024-10-27,Femle,East,Gold
O822528,C00102,P0021,1.0,49.84,2025-05-24,Delayed,Bank Transfer,West,0.15,Kitchen Product 70,Kitchen,2024-09-28,20.23,S643,josephmiller@thompson.com,2024-07-07,Male,East,Bronze
O634569,C00428,P0014,2.0,38.37,2025-05-25,Delayed,Credit Card,North,0.0,Outdoors Product 91,Outdoors,2025-02-02,13.22,S876,floresjeffery@brown-frey.net,2024-11-21,Female,North,Gold
